number	name	district	party	votes	got_mandate
930	KAJAR LEMBER	10	Sotsiaaldemokraatlik Erakond	191	False	
927	HENRI KASELO	10	Sotsiaaldemokraatlik Erakond	149	False	
929	JARNO LAUR	10	Sotsiaaldemokraatlik Erakond	96	False	
926	TÕNU INTS	10	Sotsiaaldemokraatlik Erakond	80	False	
928	TIINA MERKULJEVA	10	Sotsiaaldemokraatlik Erakond	61	False	
961	VEIKO RÄMMEL	10	Eesti Iseseisvuspartei	39	False	
969	URMO KARUSOO	10	Üksikkandidaadid	111	False	
132	PIRET HALJEND	11	Rahva Ühtsuse Erakond	169	False	
134	JUHAN LIIV	11	Rahva Ühtsuse Erakond	73	False	
133	JAAK METSALU	11	Rahva Ühtsuse Erakond	38	False	
241	UNO KASKPEIT	11	Eesti Konservatiivne Rahvaerakond	1807	True	
244	ANTS TAUL	11	Eesti Konservatiivne Rahvaerakond	619	False	
243	ARNO SILD	11	Eesti Konservatiivne Rahvaerakond	523	True	
250	AIVAR MESIKÄPP	11	Eesti Konservatiivne Rahvaerakond	281	False	
242	MERRY AART	11	Eesti Konservatiivne Rahvaerakond	279	False	
248	RIINA SABALISK	11	Eesti Konservatiivne Rahvaerakond	229	False	
247	MARTTI KIROTAJA	11	Eesti Konservatiivne Rahvaerakond	171	False	
249	VEEVI HÕRAK	11	Eesti Konservatiivne Rahvaerakond	115	False	
251	VAINO RAUBA	11	Eesti Konservatiivne Rahvaerakond	107	False	
245	ARTUR KARASK	11	Eesti Konservatiivne Rahvaerakond	88	False	
246	ENDEL-HALJAND SUSI	11	Eesti Konservatiivne Rahvaerakond	56	False	
366	HANNO PEVKUR	11	Eesti Reformierakond	3816	True	
367	LIINA KERSNA	11	Eesti Reformierakond	2387	True	
368	MEELIS MÄLBERG	11	Eesti Reformierakond	1040	False	
369	MARGUS LEPIK	11	Eesti Reformierakond	782	False	
370	AIVAR ROSENBERG	11	Eesti Reformierakond	645	False	
372	AGU KABRITS	11	Eesti Reformierakond	519	False	
371	ANDRUS SEEME	11	Eesti Reformierakond	472	False	
373	PEETER SIBUL	11	Eesti Reformierakond	408	False	
374	JÜRI KAVER	11	Eesti Reformierakond	395	False	
376	LIIVI MARAN	11	Eesti Reformierakond	384	False	
375	ANTI HAUGAS	11	Eesti Reformierakond	186	False	
492	PRIIT SIBUL	11	Erakond Isamaa ja Res Publica Liit	1491	True	
501	IGOR TARO	11	Erakond Isamaa ja Res Publica Liit	1202	False	
491	MAIRE AUNASTE	11	Erakond Isamaa ja Res Publica Liit	679	True	
494	ULLA PREEDEN	11	Erakond Isamaa ja Res Publica Liit	539	False	
493	ÜLO TULIK	11	Erakond Isamaa ja Res Publica Liit	490	False	
496	KURMET MÜÜRSEPP	11	Erakond Isamaa ja Res Publica Liit	330	False	
495	ARNE TILK	11	Erakond Isamaa ja Res Publica Liit	292	False	
497	MAREK MEKK	11	Erakond Isamaa ja Res Publica Liit	208	False	
498	KALLE VISTER	11	Erakond Isamaa ja Res Publica Liit	205	False	
499	JAAK PÄCHTER	11	Erakond Isamaa ja Res Publica Liit	127	False	
500	SIRLE ROSENFELDT	11	Erakond Isamaa ja Res Publica Liit	74	False	
547	AGO SAMOSON	11	Erakond Eestimaa Rohelised	196	False	
548	ZOJA MELLOV	11	Erakond Eestimaa Rohelised	52	False	
549	ARVI MATVEI	11	Erakond Eestimaa Rohelised	43	False	
575	NIINA NETŠAJEVA	11	Eestimaa Ühendatud Vasakpartei	40	False	
681	KAUL NURM	11	Eesti Vabaerakond	1315	False	
682	MERLE JÄÄGER	11	Eesti Vabaerakond	986	False	
685	KAIE HERKEL	11	Eesti Vabaerakond	185	False	
688	TANEL VALK	11	Eesti Vabaerakond	161	False	
691	URMAS OTT	11	Eesti Vabaerakond	129	False	
684	IVO PILL	11	Eesti Vabaerakond	123	False	
683	KALLE KALJUSTE	11	Eesti Vabaerakond	96	False	
686	URMAS HEINASTE	11	Eesti Vabaerakond	93	False	
690	VALEV ELERAND	11	Eesti Vabaerakond	72	False	
689	SILVER SAARVA	11	Eesti Vabaerakond	59	False	
687	EDUARD KASSIN	11	Eesti Vabaerakond	15	False	
806	HEIMAR LENK	11	Eesti Keskerakond	3398	True	
808	TARMO TAMM	11	Eesti Keskerakond	1721	True	
807	ANNELI OTT	11	Eesti Keskerakond	1119	False	
810	ALAR NÄÄME	11	Eesti Keskerakond	798	False	
816	TOOMAS PAUR	11	Eesti Keskerakond	511	False	
814	TOIVO TOOTSEN	11	Eesti Keskerakond	232	False	
811	EVE SALUNDI	11	Eesti Keskerakond	224	False	
809	JANIKA USIN	11	Eesti Keskerakond	200	False	
812	ANDRE LAINE	11	Eesti Keskerakond	197	False	
813	LIIS TAPPO-TREIAL	11	Eesti Keskerakond	155	False	
815	HEIDY TAMME	11	Eesti Keskerakond	115	False	
931	IVARI PADAR	11	Sotsiaaldemokraatlik Erakond	3992	True	
934	KALVI KÕVA	11	Sotsiaaldemokraatlik Erakond	2081	True	
941	INARA LUIGAS	11	Sotsiaaldemokraatlik Erakond	1192	False	
933	REIN RANDVER	11	Sotsiaaldemokraatlik Erakond	1003	False	
932	SIRJE TOBRELUTS	11	Sotsiaaldemokraatlik Erakond	849	False	
936	TARMO TAMM	11	Sotsiaaldemokraatlik Erakond	452	True	
937	SILJA SUIJA	11	Sotsiaaldemokraatlik Erakond	390	False	
935	RAUL KUDRE	11	Sotsiaaldemokraatlik Erakond	245	False	
938	REIN JÄRVELILL	11	Sotsiaaldemokraatlik Erakond	218	False	
940	SIXTEN SILD	11	Sotsiaaldemokraatlik Erakond	203	False	
939	KALEV HÄRK	11	Sotsiaaldemokraatlik Erakond	191	False	
962	ARGO MÕTTUS	11	Eesti Iseseisvuspartei	111	False	
967	MAREK RANNE	11	Üksikkandidaadid	114	False	
972	TARMO PORROSON	11	Üksikkandidaadid	59	False	
135	ANDRUS SOOPALU	12	Rahva Ühtsuse Erakond	349	False	
136	ANDRES LAINELA	12	Rahva Ühtsuse Erakond	32	False	
252	MART HELME	12	Eesti Konservatiivne Rahvaerakond	6714	True	
253	HELDUR PAULSON	12	Eesti Konservatiivne Rahvaerakond	132	False	
255	KÄDE KALAMEES	12	Eesti Konservatiivne Rahvaerakond	84	False	
254	HELLE KULLERKUPP	12	Eesti Konservatiivne Rahvaerakond	70	False	
259	IIVI KALLASTE	12	Eesti Konservatiivne Rahvaerakond	58	False	
260	TIINA TOOMJÕE	12	Eesti Konservatiivne Rahvaerakond	41	False	
257	MATI LEHOLA	12	Eesti Konservatiivne Rahvaerakond	28	False	
258	HEIKI MERIRAND	12	Eesti Konservatiivne Rahvaerakond	28	False	
256	ANDRUS LELOV	12	Eesti Konservatiivne Rahvaerakond	24	False	
261	TIINA ESPENBERG	12	Eesti Konservatiivne Rahvaerakond	9	False	
377	TOOMAS KIVIMÄGI	12	Eesti Reformierakond	7603	True	
378	JÜRI JAANSON	12	Eesti Reformierakond	1328	True	
379	VÄINO LINDE	12	Eesti Reformierakond	1206	False	
380	VÄINO HALLIKMÄGI	12	Eesti Reformierakond	293	False	
381	MEELI PÄRNA	12	Eesti Reformierakond	263	False	
382	RIIDO VILLUP	12	Eesti Reformierakond	202	False	
386	KRISTJAN HEAMÄE	12	Eesti Reformierakond	167	False	
383	MAARJA KÕRV	12	Eesti Reformierakond	162	False	
384	KALEV PÄIT	12	Eesti Reformierakond	96	False	
385	CARMEN ILLAK	12	Eesti Reformierakond	92	False	
503	ANDRES METSOJA	12	Erakond Isamaa ja Res Publica Liit	2207	True	
502	ANNELY AKKERMANN	12	Erakond Isamaa ja Res Publica Liit	1571	False	
511	TRIVIMI VELLISTE	12	Erakond Isamaa ja Res Publica Liit	451	False	
504	REIN KILK	12	Erakond Isamaa ja Res Publica Liit	260	False	
508	LAURI LUUR	12	Erakond Isamaa ja Res Publica Liit	251	False	
506	MEELIS KUKK	12	Erakond Isamaa ja Res Publica Liit	236	False	
507	KRISTA NÕMM	12	Erakond Isamaa ja Res Publica Liit	221	False	
510	MARI SUURVÄLI	12	Erakond Isamaa ja Res Publica Liit	71	False	
505	TIIT MATSULEVITŠ	12	Erakond Isamaa ja Res Publica Liit	39	False	
509	GEORG MÄNNIK	12	Erakond Isamaa ja Res Publica Liit	30	False	
550	MART SAARSO	12	Erakond Eestimaa Rohelised	202	False	
551	OVE VARIK	12	Erakond Eestimaa Rohelised	49	False	
576	GENNADI VEREŠTŠAGIN	12	Eestimaa Ühendatud Vasakpartei	21	False	
692	JÜRI SAAR	12	Eesti Vabaerakond	1161	False	
693	KADRI JÄÄTMA	12	Eesti Vabaerakond	407	False	
694	ELMO JOA	12	Eesti Vabaerakond	289	False	
696	HELI KÜNNAPAS	12	Eesti Vabaerakond	277	False	
697	JOHANNES KASS	12	Eesti Vabaerakond	122	False	
695	ANTS ERM	12	Eesti Vabaerakond	111	False	
701	JAANUS OJANGU	12	Eesti Vabaerakond	77	False	
700	REIN PRINS	12	Eesti Vabaerakond	59	False	
698	ENN RÄHN	12	Eesti Vabaerakond	47	False	
699	HILLAR VAIK	12	Eesti Vabaerakond	46	False	
817	KADRI SIMSON	12	Eesti Keskerakond	5726	True	
818	MARKO ŠORIN	12	Eesti Keskerakond	464	False	
819	HILLAR TALVIK	12	Eesti Keskerakond	265	False	
820	RIHO ALLIKSOO	12	Eesti Keskerakond	264	False	
822	SVETLANA TŠIPURINA	12	Eesti Keskerakond	248	False	
821	KALLE SONG	12	Eesti Keskerakond	184	False	
825	ANNE BETKER	12	Eesti Keskerakond	115	False	
823	AVO KEEL	12	Eesti Keskerakond	102	False	
824	ANTS LOPSIK	12	Eesti Keskerakond	100	False	
826	ARGO MENGEL	12	Eesti Keskerakond	76	False	
942	INDREK SAAR	12	Sotsiaaldemokraatlik Erakond	1944	True	
945	MARK SOOSAAR	12	Sotsiaaldemokraatlik Erakond	613	False	
944	AET MAATEE	12	Sotsiaaldemokraatlik Erakond	504	False	
947	VALTER PARVE	12	Sotsiaaldemokraatlik Erakond	363	False	
946	MERCEDES MERIMAA	12	Sotsiaaldemokraatlik Erakond	249	False	
943	TATJANA JAANSON	12	Sotsiaaldemokraatlik Erakond	230	False	
951	KADRI-AIJA VIIK	12	Sotsiaaldemokraatlik Erakond	221	False	
948	PRIIT RUUT	12	Sotsiaaldemokraatlik Erakond	191	False	
949	KALEV KALJUSTE	12	Sotsiaaldemokraatlik Erakond	182	False	
950	ANDRES HIRVELA	12	Sotsiaaldemokraatlik Erakond	144	False	
963	PEETER PAEMURRU	12	Eesti Iseseisvuspartei	88	False	
